Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,BMU,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,173.9215221,220.8667909,238.5043638,222.4464544,293.4410797,503.7131092,147.4949458,140.04546,133.8914206,128.8580039,106.3202511,110.4601024,108.5780445,107.4945639,102.5658184,99.83068572,104.470156,106.7711795,111.6563094,114.9788994,113.1242018,111.1467059,109.5228788,98.57129618,92.12038833,87.04950345,85.48677321,86.65685325,97.21678477,105.9556901,100,102.2907036,106.6598939,112.2921162,120.1548877,137.6513739,143.4870262,140.7829138,144.1473224,150.7619482,158.9531612,152.4059535
Brazil,BRA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,84.22898012,97.93345652,106.155269,81.42911351,72.62242862,70.24093532,67.03879095,69.58265418,69.0236373,92.43059393,114.5594715,96.3125221,84.7211019,89.08707692,92.80809347,101.5445702,107.128998,109.8790424,106.8182405,71.01461326,76.57292818,63.93932594,60.93775731,57.59516329,60.4518251,73.46500341,81.73135489,87.43495293,90.37486361,89.1627395,100,103.1833448,92.01086851,86.45418455,84.61974422,69.65278055,73.25991873,79.76482703,71.44100728,70.02253227,55.59018559,53.78324492
Barbados,BRB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,202.9009223,177.2745985,174.3806209,178.8934173,168.6019973,179.7673801,188.6297731,174.2361481,160.8201367,153.9354694,155.6075733,144.1243011,141.3102455,132.6372235,83.0781478,98.17493893,99.99377435,96.45450633,94.20142859,90.11831326,87.2659172,89.14669423,91.09945519,97.12938811,94.17659604,93.32241979,96.71706232,97.7192015,104.3855971,106.6285361,100,98.41124269,97.45773742,105.1714888,119.8201544,112.611603,118.7275546,122.5487443,125.9349817,125.1524857,127.7382107,130.531142
Canada,CAN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,93.87947891,92.24086674,96.85528594,103.3776194,107.9771171,105.9446651,102.1922012,92.47724297,92.61844982,97.8678146,104.853626,103.7050096,106.6397949,97.79217636,91.42315964,83.52110095,80.79813923,81.66858362,80.88458168,76.18320857,75.25676499,75.62547501,73.40383431,72.7627918,80.95086896,85.44230082,90.53838225,95.53417466,98.59498542,95.98554268,91.57497322,100,101.5629878,101.0742358,97.49939566,91.51781557,83.26603841,81.70879938,82.92698611,82.42591071,81.71632434,80.83333454,84.74901365
Central Europe and the Baltics,CEB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,93.06879465,85.69070674,84.98346523,89.9491983,91.41600352,88.53515861,86.86900213,92.68392384,96.22565824,95.03039457,89.68669783,96.03021967,95.36391734,93.61527877,95.6594911,100.1236938,106.698769,103.5290383,95.34215076,96.56605525,94.73341883,92.29332072,94.68256493,98.07989453,98.3653302,97.35813482,95.47753788,92.89630517,89.0422299,92.52413315,96.08679731,100,109.4711042,105.3401773,103.6178556,104.2554911,110.4764077,108.1559346,106.0975004,103.224991,104.1852653,108.0944826,105.4145416
Channel Islands,CHI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,164.3131979,194.806387,175.6924754,143.9008025,142.6875419,120.7238829,101.6557811,93.39143296,87.75024662,90.11810587,86.25285904,88.30094829,93.28719662,95.12466907,98.45828077,104.4129695,106.9378321,114.7724586,112.730437,107.3653264,106.504994,95.93930244,91.67128275,86.22275971,91.03603085,96.32345337,100.1402759,97.51491516,98.26258342,95.13338411,100,100.7096651,102.9021444,101.3690642,91.88495995,90.99033697,92.64397195,95.82436399,97.14981909,92.53092463,84.94808051,87.84377686
China,CHN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,269.7388372,242.0712861,230.9401939,226.9984624,202.3241098,171.7401555,124.0677462,107.1781515,117.1590434,136.3050621,100.5304627,88.2999833,84.54038032,89.95643842,70.52044656,78.59954773,86.35448726,92.99776287,98.00686732,92.67778794,92.75274915,96.76100302,94.55452866,88.3776094,85.84793027,84.91792664,86.25660742,89.32925507,97.00949778,101.1075106,100,102.6950425,108.6714286,114.6564687,118.3618397,130.0479363,123.8935578,120.2733165,121.961464,121.1795155,123.6044991,127.2818475
Cote d'Ivoire,CIV,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,132.1813406,113.6116443,103.4475589,96.69446896,96.06636219,96.35690494,115.4162735,128.3673839,131.3484999,124.182272,126.1580875,121.3531977,126.6374097,124.3146818,76.93640112,88.45881639,88.55518066,86.63484509,92.50711228,91.53138597,86.56133049,89.63676766,93.20176759,99.66627605,100.9079751,101.1105408,100.880501,102.5762927,107.0451579,107.3459697,100,102.2026965,97.32855508,100.4875907,100.7118207,93.78446122,94.86282107,95.16625618,96.24749413,92.32516327,95.74373013,97.62822327
Cameroon,CMR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,137.3367253,126.2229017,123.4146852,128.3257522,130.5950974,136.4986375,151.1173316,169.0621001,164.3596603,151.6585267,156.2332371,149.0326621,149.9208747,139.4443266,90.21585732,96.9442888,98.03145541,97.0371697,100.4382943,99.38177673,93.68841791,96.84794233,100.3356422,103.5619686,102.9391815,99.87097693,101.5144474,102.1170063,105.0350404,106.4790875,100,100.2207516,96.45239735,98.93514757,99.68302128,93.52095364,95.44435293,96.1947631,97.62684522,96.57505748,99.43605957,99.55196273
"Congo, Dem. Rep.",COD,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1366577,339.3118546,305.0845727,236.9743563,234.2092316,223.3930039,238.8139428,368.3513032,511.0602933,245.9929915,110.4054212,91.07294748,86.99850282,85.23335824,93.91685634,91.37966809,92.59138877,96.25930991,100,105.508793,107.2335274,108.0827024,109.4867251,121.6278589,118.345929,104.1324823,118.1114159,124.8209744,126.265844,118.3114833
"Congo, Rep.",COG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,136.819948,147.7254205,157.4090436,156.3260639,145.7425565,127.3984475,94.47099017,84.31978031,81.79034442,78.63885994,69.11661517,68.80281362,69.07124277,74.46215075,90.26858688,93.65981646,99.25306147,105.5315354,99.071228,89.89043628,81.40796037,78.86137727,78.66459322,68.93861674,75.18823206,84.78211358,82.98831843,92.29478479,95.30528725,90.41045183,100,100.1261601,105.3361535,101.3092986,95.8647982,77.55344551,74.1948427,77.4023118,78.27170143,73.64354761,67.9311619,65.78567157
Comoros,COM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,141.4341458,77.05046885,78.98638155,95.57904064,98.29910452,101.0456705,93.15314797,89.19068558,84.09615784,88.64757305,87.50334858,80.95475501,85.6361481,88.32354412,87.63448009,89.36019113,89.54019484,90.66635138,92.57135268,90.24659292,92.13092088,95.83903774,93.60682106,87.5555545,84.80900392,84.69981163,85.29276604,86.51881362,89.12273299,90.27518398,100,101.8160247,106.1900103,110.5689578,106.4250905,114.7558021,113.9688606,108.5401591,106.1250793,106.7521819,107.8498364,97.97629941
Caribbean small states,CSS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,111.4957007,107.7354542,105.2199849,102.9893643,102.0349563,102.2012058,98.10382693,93.18977188,92.34191252,90.59078067,88.94425227,88.51763973,91.37052935,91.11918981,93.41313045,94.53000863,93.78380547,92.21661498,95.66580257,93.76992361,91.14930153,92.06113354,94.85265787,101.5226377,103.002062,102.3588473,101.7133876,100.9288444,103.7469027,104.6633224,100,100.0583226,97.37369192,97.39277264,96.6027512,88.19518112,87.4559913,87.5386563,89.21243287,87.49295555,87.61224264,87.70792053
Czechia,CZE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.05344815,43.07602181,45.06570979,52.19706802,55.2107355,56.98282066,60.6553332,61.58415244,67.15172563,65.98944181,67.03127306,71.2155734,79.41617944,78.02455222,78.7895931,83.16335595,87.61246444,90.02408035,103.5041679,99.32691703,100,101.8868346,98.42840924,96.46537867,90.87809822,88.62278659,90.97033238,94.86431078,99.24057323,99.57624504,100.1214403,104.7267889
Germany,DEU,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,121.1850948,114.5878601,104.7845227,106.6966109,107.3635738,102.6283307,99.88063136,105.758208,109.2240094,107.0027255,104.623191,107.7649506,105.8951411,110.8619468,115.1930587,115.9719435,121.1952396,116.8157904,110.1898821,110.3671955,106.8913423,99.68019006,99.66426571,100.721339,106.1292607,107.6484202,105.2175322,104.2550485,105.7700522,105.8815836,106.4638054,100,98.89740986,95.23739916,97.60672385,98.26754934,92.49933928,94.08144895,94.89857486,97.04778466,95.46906186,96.70091884,97.55450511
Djibouti,DJI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,109.5004623,111.9040925,120.9369795,124.9793996,132.9795682,143.8949105,147.9025495,137.2013653,130.1480995,125.2995181,130.6858623,125.6051669,127.4798129,128.5555875,131.5846726,127.2996451,119.9888167,119.1790517,119.7382347,120.3462611,119.6336033,120.3157658,121.9377901,120.1915168,117.5473715,112.8107983,107.8613479,106.116762,102.6900045,100.0472806,101.2579853,100,95.19727912,95.54003116,94.42084781,94.07940971,97.31876179,97.92104445,96.07468993,94.14165505,95.94397489,93.94942688,89.65140988
