Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02787357,1.019668798,1.03588572,1.003279025,1.003749973,0.991023635,0.982783275,0.984746857,1.003479267,0.99175012,0.978719876,0.960543776,0.983264159,0.975365923,0.961215004,0.979118724,0.957675344,0.959958004,0.955912869,0.939984826,0.9251786,0.898563445,0.91523546,0.903084576,0.904266655,0.936313272,0.924120188,0.901406765,0.892402938,0.889882777,0.848625527,0.827943328
Bosnia and Herzegovina,BIH,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407144135,0.490673197,0.380619606,0.366938347,0.351918943,0.360398507,0.322732356,0.322285256,0.344433656,0.41357154,0.453569944,0.459994478,0.460883771,0.511546569,0.563852342,0.522164643,0.495872695,0.510455473,0.463764052,0.465790668,0.466153571,0.39358714,0.38208708,0.392223204,0.407021929,0.378115403,0.384334073,0.40845705
Belarus,BLR,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406565474,0.330936148,0.338774921,0.342256681,0.348058853,0.356035291,0.359198056,0.303475189,0.298271633,0.226833076,0.219982979,0.199267166,0.22064199,0.246920503,0.280105127,0.324014851,0.34956158,0.383998093,0.458836598,0.380951329,0.392771276,0.394076828,0.384038796,0.421082718,0.438834854,0.329750365,0.283351961,0.315190614,0.327365659,0.340305506,0.322647429,0.336531689
Belize,BLZ,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664138135,0.628322081,0.634822266,0.632115006,0.634540759,0.655177162,0.662530205,0.640950892,0.642187318,0.620023245,0.614097803,0.595818736,0.591731235,0.558731019,0.55670202,0.555532236,0.557408489,0.563757724,0.572614886,0.555520995,0.560823485,0.575614154,0.61951077,0.632144213,0.656242013,0.659262538,0.671137154,0.687532544,0.672587379,0.660024549,0.648232194,0.646986933
Bermuda,BMU,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873483471,0.899243356,0.903946857,0.92890059,0.927301219,0.946207138,1.202048874,1.229221082,1.248864424,1.264909989,1.18448874,1.142530112,1.221526377,1.231722057,1.255805274,1.299962981,1.328861468,1.378965795,1.422140275,1.42782975,1.442424259,1.396796823,1.459248185,1.441759467,1.43172729,1.419243693,1.39972508,1.366415858,1.356034602,1.364435973,1.342591397,1.29375433
Bolivia,BOL,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298921024,0.301520183,0.306343871,0.291614252,0.284514315,0.298884707,0.309797244,0.310910176,0.313848994,0.300466624,0.290525855,0.270889561,0.252717452,0.246682882,0.250328414,0.252989153,0.280847152,0.299618505,0.351975575,0.351883198,0.378402187,0.429711975,0.440735444,0.438986501,0.436722939,0.425571298,0.410233289,0.397821066,0.400413611,0.390651094,0.37884099,0.378155731
Brazil,BRA,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391757152,0.328882223,0.309704276,0.323570917,0.426932142,0.587528337,0.623997123,0.616146391,0.593831788,0.404652382,0.414332171,0.341445193,0.296996313,0.315325473,0.348126818,0.435719747,0.505066681,0.584789324,0.66271743,0.648127151,0.789185797,0.880688913,0.82213119,0.789052596,0.77059119,0.597797985,0.610970605,0.683573648,0.609337424,0.57793613,0.459401281,0.468287731
Barbados,BRB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805677261,0.814355183,0.817703046,0.835547655,0.83615646,0.827305286,0.83305281,0.826439674,0.888367961,0.91486056,0.887746687,0.887767844,0.882080006,0.874660596,0.901438781,0.932308676,0.941104583,0.994868036,0.99295499,0.96944368,0.995257642,1.009443521,1.061368585,1.072804928,1.086559057,1.065389752,1.059434056,1.101502538,1.112210289,1.142817521,1.142972631,1.1399319
Brunei Darussalam,BRN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243634949,0.240231603,0.25339723,0.24218658,0.228863487,0.248499606,0.256323667,0.259826737,0.201396942,0.218825583,0.271421209,0.241128841,0.238463326,0.255016733,0.296657734,0.346912397,0.387939575,0.402695185,0.473513816,0.357133653,0.439297028,0.560622316,0.540982937,0.533973679,0.512784028,0.498300683,0.482411075,0.468429014,0.511523695,0.48032328,0.418290839,0.476102617
Bhutan,BTN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347881615,0.282277152,0.263733832,0.237658225,0.254073068,0.260663047,0.253309709,0.274341719,0.264278013,0.265119462,0.266658887,0.261657997,0.262009856,0.276358014,0.286864368,0.302709268,0.301316913,0.330970126,0.325650941,0.304653334,0.33733227,0.351331244,0.320892708,0.30948948,0.306033486,0.289730699,0.280243515,0.294961114,0.279139498,0.268720198,0.270563077,0.272576025
Botswana,BWA,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465428047,0.435779482,0.435383954,0.418672733,0.405005176,0.411639154,0.391428151,0.367854727,0.345579356,0.355741142,0.359991618,0.333056389,0.306321162,0.396527983,0.448361284,0.460410788,0.421256401,0.413045864,0.398581069,0.434969479,0.487454083,0.534447381,0.518786315,0.491236858,0.477315265,0.437370445,0.419683799,0.457491691,0.453525809,0.42391147,0.410372626,0.417391883
Central African Republic,CAF,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80868684,0.752000241,0.805424631,0.710205461,0.441219431,0.528269109,0.488256962,0.424138438,0.413232832,0.406398685,0.373819608,0.356016967,0.361323506,0.429539211,0.43957959,0.444133017,0.449321935,0.486304758,0.54830576,0.520347716,0.50928924,0.544853295,0.513418398,0.514977442,0.589247432,0.479563822,0.472570274,0.493973656,0.49817123,0.474770128,0.486996733,0.501193654
Canada,CAN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064069249,1.080204242,1.015714404,0.941546392,0.88356693,0.880522442,0.885522552,0.867084356,0.798816313,0.801514438,0.826610329,0.788006198,0.78336392,0.874822639,0.947472713,1.001521703,1.062557299,1.128478726,1.1568791,1.051740005,1.186103189,1.253367475,1.245398147,1.188191054,1.113701013,0.975958293,0.910554611,0.934024592,0.93110755,0.930604595,0.917149125,0.986013857
Central Europe and the Baltics,CEB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.390373596,1.37335007,1.398387854,1.330187466,1.42369233,1.624745877,1.526292071,1.270346586,1.260522831,1.200130475,1.059120085,1.048154776,1.096984473,1.273612534,1.360512264,1.354439447,1.275386824,1.276209597,1.378495984,1.350963147,1.405767632,1.573684528,1.444059306,1.415980123,1.399071697,1.284093908,1.21977962,1.20619077,1.205528267,1.157614148,1.20976629,1.211044532
Channel Islands,CHI,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559327432,0.572597749,0.602683022,0.584340698,0.619668245,0.702677982,0.675433796,0.674579476,0.612415034,0.558301635,0.538333684,0.466461414,0.437443587,0.445832162,0.527091023,0.596122497,0.600772659,0.619906516,0.651533479,0.631754713,0.705218195,0.719537383,0.713769768,0.706036078,0.643841616,0.598019338,0.586817615,0.612929538,0.617875796,0.571369116,0.527823526,0.573279053
China,CHN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323903048,0.304638289,0.290375034,0.259465123,0.285176721,0.327679907,0.344230548,0.344877672,0.338405747,0.329520068,0.328862778,0.328252107,0.325164706,0.327172251,0.34077783,0.346771654,0.359286149,0.395072639,0.457472251,0.461395026,0.491686815,0.545456582,0.564131604,0.591311016,0.61185172,0.621549138,0.600321656,0.619016865,0.639237911,0.609162744,0.605532557,0.649300917
Cote d'Ivoire,CIV,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489137787,0.459660362,0.478873328,0.464181961,0.339308212,0.410487123,0.412932012,0.369727524,0.381206137,0.357394212,0.307821664,0.311990937,0.339195508,0.410959919,0.429088344,0.421519602,0.418295821,0.45828327,0.508488203,0.484937762,0.46235699,0.502729522,0.473435305,0.500590824,0.49927228,0.423939926,0.425933922,0.436997636,0.449005153,0.419017468,0.425476153,0.435729687
Cameroon,CMR,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604162932,0.584139423,0.600923293,0.767109544,0.419902573,0.480306995,0.462123424,0.422700161,0.417952091,0.390630187,0.336094327,0.326601318,0.348942507,0.417344381,0.447566453,0.439914118,0.440598769,0.470553746,0.519960466,0.507616864,0.480032407,0.506541721,0.474372669,0.488121488,0.484285172,0.407143951,0.400677544,0.400927763,0.41711072,0.39301857,0.398093444,0.410038121
"Congo, Dem. Rep.",COD,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306339499,0.33339984,0.31103249,0.456925373,0.253081122,0.238676733,0.242179919,0.26620194,0.273162997,0.213204705,0.907388336,0.353216634,0.396421546,0.377050449,0.396356665,0.420707519,0.468056712,0.496711403,0.54244645,0.493837625,0.526862354,0.578649755,0.634141308,0.607793978,0.572851895,0.54924812,0.489087736,0.440714747,0.508914661,0.521338093,0.476428135,0.489368067
"Congo, Rep.",COG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373612691,0.343618904,0.35244788,0.318189821,0.217284589,0.244761571,0.276729334,0.250262448,0.200226367,0.24481352,0.305046112,0.249002779,0.254352666,0.285699286,0.357385148,0.42049315,0.458530725,0.520159058,0.636822898,0.473072481,0.575012523,0.656237897,0.619160636,0.640113733,0.637570491,0.527728145,0.534293423,0.512650469,0.648044456,0.594339663,0.51496902,0.644581273
Colombia,COL,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347171361,0.338387264,0.377756234,0.398269546,0.453128542,0.477659368,0.482739226,0.503675869,0.457100114,0.41194188,0.377160999,0.356681575,0.341760746,0.311574193,0.356368848,0.409958596,0.413601077,0.481326493,0.537104513,0.506342001,0.590404756,0.632118442,0.669813536,0.64570235,0.609760643,0.46554881,0.425046132,0.449972655,0.44732509,0.405615876,0.350603662,0.361110456
Comoros,COM,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60823041,0.613908512,0.596447011,0.560059478,0.408004525,0.481491223,0.476126422,0.414015203,0.410502042,0.410405261,0.359830844,0.370689953,0.401427236,0.494993422,0.548060776,0.533156162,0.538219666,0.592281803,0.643267215,0.612130374,0.584540824,0.61956698,0.558772411,0.570966327,0.557205183,0.458592703,0.444523995,0.43657665,0.453925345,0.440525927,0.447088608,0.44475349
Cabo Verde,CPV,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803832679,0.799092242,0.786467317,0.970388485,0.660902019,0.679093022,0.656333596,0.567496101,0.530571219,0.533954399,0.446096773,0.445629868,0.459410447,0.566796218,0.569687131,0.543073916,0.555776406,0.598288368,0.650438587,0.621577125,0.593257237,0.62685929,0.592462714,0.624216401,0.624315501,0.507645098,0.495185919,0.495641177,0.514566371,0.482141978,0.480585574,0.490286507
Costa Rica,CRI,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36446309,0.43433335,0.462786979,0.472329904,0.484195348,0.502742703,0.491324707,0.494627556,0.495166682,0.488074851,0.483943724,0.486634395,0.480812574,0.470885376,0.473185609,0.475157382,0.486791766,0.518389541,0.556379015,0.556692363,0.639483983,0.681373173,0.703487183,0.715990188,0.675107137,0.68123086,0.629683876,0.600852883,0.585646519,0.56040661,0.561223756,0.551536836
Caribbean small states,CSS,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74001211,0.786514189,0.789421431,0.798210019,0.795183834,0.78825571,0.763774584,0.765235075,0.771528915,0.778959971,0.775991845
